Index,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Pages,Num Pages,Issue,Volume,Notes,Manual Tags
714,conferencePaper,2013,"Wijaya, V.; Erwin, A.; Galinium, M.; Muliady, W.",Automatic mood classification of Indonesian tweets using linguistic approach,2013 International Conference on Information Technology and Electrical Engineering (ICITEE),,,10.1109/ICITEED.2013.6676208,,41–46,,,,C2,automatic mood classification; Classification; classification algorithm; computational linguistics; data mining; Grammatical Rule; Indonesian language tweets classification; information classification system; information retrieval; Lexical Approach; lexicon based classifier; linguistic approach; Naive Bayes classification; social networking (online); SVM; text analysis; text mining; twitter; Twitter mining
715,conferencePaper,2009,"Sun, Y.; Wang, L.; Deng, Z.",Automatic Sentiment Analysis for Web User Reviews,2009 First International Conference on Information Science and Engineering,,,10.1109/ICISE.2009.356,,806–809,,,,C2,ambiguous words sentiment orientation; automatic sentiment analysis; Chinese synonym thesaurus; Computer science; electronic mail; Information analysis; Information science; internet; iterative methods; iterative process; mood; natural language processing; paradigm sentiment words; part-of-speech weight factor; statistical analysis; Sun; text analysis; thesauri; Tongyici Cilin; Web user reviews; word processing
716,conferencePaper,2016,"Sinnott, R. O.; Cui, S.",Benchmarking Sentiment Analysis Approaches on the Cloud,2016 IEEE 22nd International Conference on Parallel and Distributed Systems (ICPADS),,,10.1109/ICPADS.2016.0096,,695–704,,,,C2,Algorithm design and analysis; Australia; benchmarking sentiment analysis approaches; benchmark testing; cloud-based architecture; cloud computing; cloud facilities; data analysis; data processing system; distributed processing; distributed system; elastic system; global services; large-scale Twitter data sets; machine learning algorithms; performance; sentiment analysis; social media resources; social networking (online); training; Training data; twitter
717,conferencePaper,2016,"Song, Kaisong; Gao, Wei; Chen, Ling; Feng, Shi; Wang, Daling; Zhang, Chengqi",Build Emotion Lexicon from the Mood of Crowd via Topic-Assisted Joint Non-negative Matrix Factorization,Proceedings of the 39th International ACM SIGIR Conference on Research and Development in Information Retrieval,978-1-4503-4069-4,,10.1145/2911451.2914759,http://doi.acm.org/10.1145/2911451.2914759,773–776,,,,C2,Emotion Classification; emotion lexicon; joint nmf
718,conferencePaper,2015,"Sarakit, P.; Theeramunkong, T.; Haruechaiyasak, C.; Okumura, M.",Classifying emotion in Thai youtube comments,2015 6th International Conference of Information and Communication Technology for Embedded Systems (IC-ICTES),,,10.1109/ICTEmSys.2015.7110808,,1–5,,,,C2,accuracy; AD genre; anger; Bayes methods; commercial advertisement genre; Conferences; decision tree; Decision trees; disgust; DT; Emotion Classification; emotion detection; emotion recognition; fear; happiness; human computer interaction; learning (artificial intelligence); machine learning; machine learning algorithms; media; media clip mood; MNB; multinomial naïve Bayes; music video genre; MV genre; pattern classification; portal; portals; sadness; sentiment analysis; social media clips; social networking (online); support vector machine; Support Vector Machines; surprise; SVM; text analysis; Thai media clip; Thai YouTube comments; twitter; YouTube
719,conferencePaper,2013,"Gonçalves, Pollyanna; Araújo, Matheus; Benevenuto, Fabrício; Cha, Meeyoung",Comparing and Combining Sentiment Analysis Methods,Proceedings of the First ACM Conference on Online Social Networks,978-1-4503-2084-9,,10.1145/2512938.2512951,http://doi.acm.org/10.1145/2512938.2512951,27–38,,,,C2,public mood; sentiment analysis; social networks
720,conferencePaper,2015,"Elsayed, E. K.; Elgamal, E. M.; Eldahshan, K. A.",Deep analysis of knowledge in one's writings,2015 IEEE Seventh International Conference on Intelligent Computing and Information Systems (ICICIS),,,10.1109/IntelCIS.2015.7397239,,306–312,,,,C2,classification opinion mining tool; concept semantics; deep analysis; IEL; Information analysis; Information filters; natural language processing; natural language processing toolkit; NLTK toolkit; ontologies (artificial intelligence); Ontology-based; ontology file; pattern classification; Pragmatics; Prognostics and health management; Python; Radiation detectors; sentiment analysis; SentiWordNet ontology; social sciences computing; text analysis; text classification; text mining; WordNet; WordNet ontology; Writing
721,conferencePaper,2007,"Field, Debora; Ramsay, Allan",Deep-reasoning-centred Dialogue,Proceedings of the Eleventh European Workshop on Natural Language Generation,,,,http://dl.acm.org/citation.cfm?id=1610163.1610186,131–138,,,,C2,
722,conferencePaper,2007,"Jung, Yuchul; Choi, Yoonjung; Myaeng, Sung-Hyon",Determining Mood for a Blog by Combining Multiple Sources of Evidence,Proceedings of the IEEE/WIC/ACM International Conference on Web Intelligence,978-0-7695-3026-0,,10.1109/WI.2007.46,http://dx.doi.org/10.1109/WI.2007.46,271–274,,,,C2,
723,conferencePaper,2012,"Mohandas, N.; Nair, J. P. S.; V, G.",Domain Specific Sentence Level Mood Extraction from Malayalam Text,2012 International Conference on Advances in Computing and Communications,,,10.1109/ICACC.2012.16,,78–81,,,,C2,accuracy; angry mood; behavioural sciences; decision making; domain specific sentence level mood extraction; emotional polarity classification; happy mood; input sentence; Learning systems; Malayalam; Malayalam text; mood; natural language processing; NLP; opinions; parts-of-speech tagging; phrases; sad mood; semantic orientation; semantics; sentiment analysis; sentiment classification; social media; south Indian language; Support Vector Machines; tagging; text analysis; textual information
724,conferencePaper,2008,"Qin, Zheng; Shang, Qing-chen",Eliminate people #x2019;s expressive preference in the mood of fuzzy linguistics,2008 Conference on Human System Interactions,,,10.1109/HSI.2008.4581585,,1021–1026,,,,C2,attitude preference; expressive preference; Finance; fuzzy linguistics; fuzzy logic; fuzzy mood; fuzzy set theory; fuzzy systems; Humans; human system interaction; Information management; intelligent systems; Knowledge Management; linguistics; mathematical translation; mood; mood operator; natural languages; people expressive preference; Testing
725,conferencePaper,2008,"Gill, Alastair J.; Gergle, Darren; French, Robert M.; Oberlander, Jon",Emotion Rating from Short Blog Texts,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,978-1-60558-011-1,,10.1145/1357054.1357229,http://doi.acm.org/10.1145/1357054.1357229,1121–1124,,,,C2,affect; computer-mediated communication; emotion; language
726,conferencePaper,2015,"Alp, Z. Z.; Öðüdücü, S. G.",Extracting Topical Information of Tweets Using Hashtags,2015 IEEE 14th International Conference on Machine Learning and Applications (ICMLA),,,10.1109/ICMLA.2015.73,,644–648,,,,C2,anomalies detection; data collection; data mining; hashtags; information retrieval; information retrieval systems; latent dirichlet allocation; LDA; Market research; media; microblogging Web sites; news media; recommendation systems; sentiment analysis; social media applications; social networking (online); tagging; text messages posting; topical information extraction; topic modeling; tweets; twitter
727,conferencePaper,2012,"Ulinski, Morgan; Soto, Victor; Hirschberg, Julia",Finding Emotion in Image Descriptions,Proceedings of the First International Workshop on Issues of Sentiment Discovery and Opinion Mining,978-1-4503-1543-2,,10.1145/2346676.2346684,http://doi.acm.org/10.1145/2346676.2346684,8:1–8:7,,,,C2,image descriptions; mood classification; text tagging
728,conferencePaper,2015,"Boonthong, P.; Kulkasem, P.; Rasmequan, S.; Rodtook, A.; Chinnasarn, K.",Fisher feature selection for emotion recognition,2015 International Computer Science and Engineering Conference (ICSEC),,,10.1109/ICSEC.2015.7401452,,1–6,,,,C2,affective computing; angry; backpropagation; backpropagation neural network; classification performance; emotion recognition; entropy; fear; feature extraction; feature selection; Fisher feature selection; F-score; happy; human sound; learning networks; machine learning; Mel frequency cepstral coefficient; sad; speech; speech processing; speech recognition; Thai Language properties; Thai speech; Thai Speech Emotion Recognition; Thai utterance
729,journalArticle,1980,"Swain, P. W.",Giving power to words,IEEE Transactions on Professional Communication,,0361-1434,10.1109/TPC.1980.6501890,,135–137,,3,PC-23,C2,
730,conferencePaper,2014,"Li, P.; Zhao, H.",Imperative sentences with assertive mood,2014 International Conference on Asian Language Processing (IALP),,,10.1109/IALP.2014.6973478,,34–37,,,,C2,action classification; color; declarative sentences; Educational institutions; grammars; imperative function; imperative sentences with assertive mood; ISAM; mood; natural language processing; Next generation networking; Nickel; pattern classification; performative verb; performative verbs; semantics; Transforms; verbs
731,conferencePaper,2012,"Veale, Tony; Hao, Yanfen",In the Mood for Affective Search with Web Stereotypes,Proceedings of the 21st International Conference on World Wide Web,978-1-4503-1230-1,,10.1145/2187980.2188066,http://doi.acm.org/10.1145/2187980.2188066,429–432,,,,C2,affective computing; common-sense knowledge; knowledge acquisition from web texts; lexical affect; lexicon design
732,conferencePaper,2016,"Li, B.",Learning dimensional sentiment of traditional Chinese words with word embedding and support vector regression,2016 International Conference on Asian Language Processing (IALP),,,10.1109/IALP.2016.7875997,,324–327,,,,C2,Buildings; Dimensional Approach; linear regression; Manuals; measurement; sentiment analysis; Support Vector Machines; support vector regression; Training data; word embedding
733,conferencePaper,2006,"Bick, Eckhard","LingPars, a Linguistically Inspired, Language-independent Machine Learner for Dependency Treebanks",Proceedings of the Tenth Conference on Computational Natural Language Learning,,,,http://dl.acm.org/citation.cfm?id=1596276.1596308,171–175,,,,C2,
734,journalArticle,2016,"Tsytsarau, M.; Palpanas, T.",Managing Diverse Sentiments at Large Scale,IEEE Transactions on Knowledge and Data Engineering,,1041-4347,10.1109/TKDE.2016.2597848,,3028–3040,,11,28,C2,Adaptation models; Biological system modeling; blogs; context; contradiction analysis; data aggregation; indexing; indexing method; internet; online platform; opinion mining; Pragmatics; semantics; sentiment aggregation; sentiment analysis; sentiment diversity; sentiment polarity; storage management; storage method
735,conferencePaper,2013,"Zhang, Lumin; Pei, Shaojie; Deng, Lei; Han, Yi; Zhao, Jinhui; Hong, Feng",Microblog Sentiment Analysis Based on Emoticon Networks Model,Proceedings of the Fifth International Conference on Internet Multimedia Computing and Service,978-1-4503-2252-2,,10.1145/2499788.2499832,http://doi.acm.org/10.1145/2499788.2499832,134–138,,,,C2,emoticon networks; large-scale multimedia; microblog; opinion mining; sentiment analysis
736,conferencePaper,2012,"Wicaksono, Alfan Farizki; Myaeng, Sung-Hyon",Mining Advices from Weblogs,Proceedings of the 21st ACM International Conference on Information and Knowledge Management,978-1-4503-1156-4,,10.1145/2396761.2398637,http://doi.acm.org/10.1145/2396761.2398637,2347–2350,,,,C2,advice mining; text mining
737,conferencePaper,2012,"Fiaidhi, J.; Mohammed, O.; Mohammed, S.; Fong, S.; Kim, T. h",Mining twitterspace for information: Classifying sentiments programmatically using Java,Seventh International Conference on Digital Information Management (ICDIM 2012),,,10.1109/ICDIM.2012.6360089,,303–308,,,,C2,accuracy; application program interfaces; Classification; Classification algorithms; Crawlers; data mining; Earth; emoticons; information mining; Java; natural language; Programming; query processing; query term; sentiment analysis; sentiment classification; social networking (online); statistical techniques; structured grammar; tweets classification; twitter; Twitter messages; twitterspace mining; Weka data mining API
738,conferencePaper,2006,"Patry, Alexandre; Gotti, Fabrizio; Langlais, Philippe",Mood at Work: Ramses Versus Pharaoh,Proceedings of the Workshop on Statistical Machine Translation,,,,http://dl.acm.org/citation.cfm?id=1654650.1654668,126–129,,,,C2,
739,conferencePaper,2010,"Nguyen, Thin",Mood Patterns and Affective Lexicon Access in Weblogs,Proceedings of the ACL 2010 Student Research Workshop,,,,http://dl.acm.org/citation.cfm?id=1858913.1858921,43–48,,,,C2,
740,conferencePaper,2016,"Gaikwad, G.; Joshi, D. J.",Multiclass mood classification on Twitter using lexicon dictionary and machine learning algorithms,2016 International Conference on Inventive Computation Technologies (ICICT),,,10.1109/INVENTIVE.2016.7823247,,1–6,,,1,C2,AFINN; AFINN lexicon database; database management systems; Dictionaries; emoticon; feature extraction; impact factor; K-nearest neighbor; KNN; learning (artificial intelligence); lexicon approach; lexicon dictionary algorithm; machine learning; mood; multiclass mood classification; naive Bayesian machine learning algorithm; natural language processing; NB machine learning algorithm; NLP; pattern classification; SA; semantics; sentiment analysis; social media; social networking (online); Social network services; support vector machine; Support Vector Machines; SVM; training; twitter; twitter social network
741,conferencePaper,2014,"Sun, Xiao; Sun, Chongyuan; Ren, Fuji",New word detection and emotional tendency judgment based on mixed model,2014 IEEE 3rd International Conference on Cloud Computing and Intelligence Systems,,,10.1109/CCIS.2014.7175714,,118–123,,,,C2,artificial neural networks; Chinese new word detection; conditional random fields; crf; crowd sourcing network dictionary; Dictionaries; Emotional Tendency Judgment; Lead; mixed model; natural language processing; neural nets; neural network language model; New Word Detection; new word emotional tendency judgment; new word generation framework; NNLM; precision; public mood forecasting; Rain; recall; text analysis; training; word processing
742,conferencePaper,2011,"Wu, J.; Gao, W.; Zhang, B.; Hu, Y.; Liu, J.",Online Web Sentiment Analysis on Campus Network,2011 Fourth International Symposium on Computational Intelligence and Design,,,10.1109/ISCID.2011.197,,379–382,,,2,C2,campus network; campus network net flow collection; cluster; Conferences; context; data mining; Data warehouses; internet; internet topic sentiment; job scheduling; Manuals; Monitoring; off-line Sentiment analysis; online Web sentiment analysis; real-time sentiment analysis; Real time systems; web sentiment
743,conferencePaper,2016,"Jain, J. P.; Awati, C. J.; Alzende, N. H.",Opinion Analysis of text on the basis of Three Domain Classification,2016 International Conference on Automatic Control and Dynamic Optimization Techniques (ICACDOT),,,10.1109/ICACDOT.2016.7877680,,713–717,,,,C2,Algorithm design and analysis; Classification algorithms; Dictionaries; Latent Dirichlet Allocation (LDA) Preprocessing; Online Purchase; opinion mining; Prediction algorithms; probability; sentiment analysis; training
744,conferencePaper,2015,"Fong, S.; Gao, E.; Wong, R.",Optimized Swarm Search-Based Feature Selection for Text Mining in Sentiment Analysis,2015 IEEE International Conference on Data Mining Workshop (ICDMW),,,10.1109/ICDMW.2015.231,,1153–1162,,,,C2,Classification; clustering-by-coefficient-of-variation; computational domain; Correlation; data mining; feature evaluation technique; feature selection; feature subset; fundamental data analytics; high-dimensional sparse matrix; human emotions; media; mood classification scenario; optimisation; optimized swarm search-based feature selection; OS-FS; pattern classification; pattern clustering; searching function; search problems; sentiment analysis; sentiment classification model; social media; social networking (online); Sparse matrices; Swarm Search; text mining; text string transformation; training; word vectors
745,journalArticle,1981,"Shinoda, Y.",Pitfalls for Japanese specialists in english technical writing,IEEE Transactions on Professional Communication,,0361-1434,10.1109/TPC.1981.6447875,,151–152,,3,PC-24,C2,Clocks; Electrodes; Electron tubes; Fasteners; mood; Syntactics; Wires
746,conferencePaper,2009,"Jiang, H.; Wang, X.",Research on knowledge elements in exponential language model,2009 International Conference on Natural Language Processing and Knowledge Engineering,,,10.1109/NLPKE.2009.5313799,,1–5,,,,C2,baseline n-gram models; Chinese character conversion; Chinese mobile short messages; Chinese Pinyin; discriminative training method; Equations; Error analysis; exponential language model; Exponential language models; internet; Internet language; Kneser-Ney smoothing technology; knowledge elements; Knowledge engineering; Knowledge Management; Management training; Maximum likelihood estimation; minimum sample risk; minimum sample risk algorithm; MSR-ELM; name entities; natural language processing; natural languages; Niobium; personal usage words; positions of words; probability knowledge; sentence mood; sentence tense; sentential language phenomena; speech; speech strings; Strontium; Technology management
747,conferencePaper,2012,"Yang, J.; Liu, X.; Zhao, Y.",Research on Mood Perception of Microblog Data Flow,2012 International Conference on Management of e-Commerce and e-Government,,,10.1109/ICMeCG.2012.81,,173–177,,,,C2,Analytical models; data handling; data mining; Dictionaries; Educational institutions; emotional curve; emotional perception; Java; Java computer language programming; microblog data flow; microblog short text; mood; mood perception; My Eclipse software environment; semantics; software engineering; Vocabulary; Web sites
748,conferencePaper,2013,"Mouthami, K.; Devi, K. N.; Bhaskaran, V. M.",Sentiment analysis and classification based on textual reviews,2013 International Conference on Information Communication and Embedded Systems (ICICES),,,10.1109/ICICES.2013.6508366,,271–276,,,,C2,accuracy; Bag of words; benchmark dataset; Classification algorithms; complaint management; customer relation management; customer relationship management; data mining; document level classification; document-level sentiment classification; emotion analysis; emotion understanding; information retrieval; Motion pictures; movies reviews dataset; multitheme document; opinion mining; parts of speech tags; sentiment analysis; Sentiment Fuzzy Classification; sentiment fuzzy classification algorithm; single topic textual review classification; social media monitoring; social networking (online); speech tags; support vector machine; Support Vector Machines; SVM algorithm; Term weighting; text analysis; text categorization; text classification; text patterns; textual reviews; valuable information extraction
749,conferencePaper,2015,"Brenga, C.; Celotto, A.; Loia, V.; Senatore, S.",SentiWordSKOS: A lexical ontology extended with sentiments and emotions,2015 Conference on Technologies and Applications of Artificial Intelligence (TAAI),,,10.1109/TAAI.2015.7407096,,237–244,,,,C2,blog sites; business plan improvement; concept-based emotion representation; concept-based sentiment representation; consumer behaviour; consumer opinion; emotion analysis; global network; Hourglass of Emotions model; human factors; lexical ontology; marketing plan improvement; natural language words; ontologies (artificial intelligence); ontology; OWL; Semantic Web technologies; sentic levels based model; sentiment analysis; SentiWordNet; SentiWordSKOS; SKOS; social knowledge; social networks; user behavior; user opinions; Vocabulary; web 2.0; Web sites; WordNet
750,conferencePaper,2014,"Ohmura, M.; Kakusho, K.; Okadome, T.",Social Mood Extraction from Twitter Posts with Document Topic Model,2014 International Conference on Information Science Applications (ICISA),,,10.1109/ICISA.2014.6847465,,1–4,,,,C2,document handling; document topic model; Educational institutions; latent dirichlet allocation; LDA; mood; Resource management; Sensitivity; social mood extraction; social networking (online); social sentiments; stock markets; twitter; Twitter posts
751,journalArticle,2013,,Special Section on Social Media as Sensors,IEEE Transactions on Multimedia,,1520-9210,10.1109/TMM.2013.2264232,,1229–1230,,6,15,C2,computer vision; Crowdsourcing; data mining; media; mood; multimedia communication; psychology; sensors; social media; social media analytics; social media sensors; Social network services; social sensing; sociology; Special issues and sections
752,conferencePaper,2003,"Argamon, Shlomo; Šarić, Marin; Stein, Sterling S.",Style Mining of Electronic Messages for Multiple Authorship Discrimination: First Results,Proceedings of the Ninth ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,978-1-58113-737-8,,10.1145/956750.956805,http://doi.acm.org/10.1145/956750.956805,475–480,,,,C2,authorship attribution; computational stylistics; electronic communication; text categorization; text mining
753,journalArticle,2013,"Irfan, R.; Bickler, G.; Khan, S. U.; Kolodziej, J.; Li, H.; Chen, D.; Wang, L.; Hayat, K.; Madani, S. A.; Nazir, B.; Khan, I. A.; Ranjan, R.",Survey on social networking services,IET Networks,,2047-4954,10.1049/iet-net.2013.0009,,224–234,,4,2,C2,audio streams; context-aware computing; context-aware techniques; end user-driven applications; facebook; human behaviour; individual human characteristics; internet; LinkedIn; Myspace; ondemand collaboration; semantic web; SNP; SNS; social communication capabilities; social computing; social networking (online); social networking platforms; social networking services; social recommendations; social search; text streams; ubiquitous computing; video streams; Web based social space
754,conferencePaper,2011,"Zhao, H.; Yang, K.",The Context Imperative Sentences of Modern Chinese,2011 International Conference on Asian Language Processing,,,10.1109/IALP.2011.48,,77–80,,,,C2,context imperative sentences; Facilitation-factors; imperative-expression category; imperative functions; Information characteristics; information transmission characteristics; modern Chinese; mood imperative sentences; natural language processing; omissive-imperative sentences; text analysis; the context Imperative Sentences; types; zero-imperative sentences
755,journalArticle,2011,"Chwilla, D. J.; Virgillito, D.; Vissers, C. T. W. M.",The Relationship of Language and Emotion: N400 Support for an Embodied View of Language Comprehension,Journal of Cognitive Neuroscience,,0898-929X,10.1162/jocn.2010.21578,,2400–2414,,9,23,C2,
756,conferencePaper,2009,"Dasgupta, Sajib; Ng, Vincent","Topic-wise, Sentiment-wise, or Otherwise?: Identifying the Hidden Dimension for Unsupervised Text Classification",Proceedings of the 2009 Conference on Empirical Methods in Natural Language Processing: Volume 2 - Volume 2,978-1-932432-62-6,,,http://dl.acm.org/citation.cfm?id=1699571.1699589,580–589,,,,C2,
757,conferencePaper,2013,"Howard, N.",Toward understanding analogical mapping and ideological cataloguing in the brain: Poster paper,IEEE 7th International Conference on Research Challenges in Information Science (RCIS),,,10.1109/RCIS.2013.6577738,,1–2,,,,C2,abstract expression; Abstracts; analogical mapping; analogical metaphor; cognition; computational linguistics; conceptual meaning; context; human brain; ideological cataloguing; intention awareness; intention awareness method; linguistic metaphor; metaphor understanding; mind-state indicator; mood; mood state; MSI; natural language processing; neural nets; phrase examination; phrase identification; phrase mapping; Pragmatics; semantic pattern filtering; semantics; sentic computing; sentic pattern filtering; state of mind; target mood
758,conferencePaper,2006,"Généreux, Michel; Evans, Roger",Towards a Validated Model for Affective Classification of Texts,Proceedings of the Workshop on Sentiment and Subjectivity in Text,978-1-932432-75-6,,,http://dl.acm.org/citation.cfm?id=1654641.1654649,55–62,,,,C2,
759,conferencePaper,1989,"Hinkelman, Elizabeth A.; Allen, James F.",Two Constraints on Speech Act Ambiguity,Proceedings of the 27th Annual Meeting on Association for Computational Linguistics,,,10.3115/981623.981649,http://dx.doi.org/10.3115/981623.981649,212–219,,,,C2,
760,conferencePaper,2014,"Armentano, M. G.; Abalde, R.; Schiaffino, S.; Amandi, A.",User Acceptance of Recommender Systems: Influence of the Preference Elicitation Algorithm,2014 9th International Workshop on Semantic and Social Media Adaptation and Personalization,,,10.1109/SMAP.2014.18,,72–76,,,,C2,Adaptation models; collaboration; collaborative filtering recommender systems; context; context aware algorithm; Correlation; KNN algorithm; mood; Motion pictures; preference elicitation algorithm; recommender systems; system interface; TAM; technology acceptance model; ubiquitous computing; underlying algorithm; User Acceptance; user interfaces; user perception
761,conferencePaper,2009,"Keshtkar, F.; Inkpen, D.",Using sentiment orientation features for mood classification in blogs,2009 International Conference on Natural Language Processing and Knowledge Engineering,,,10.1109/NLPKE.2009.5313734,,1–6,,,,C2,behavioural sciences computing; Blog; blog posting; blogs; Classification; Classification algorithms; Frequency; Hierarchy; information technology; Labeling; Livejournal blog; machine learning; mood; mood classification; sentiment orientation; Support vector machine classification; Support Vector Machines; Web sites; Writing
762,conferencePaper,2014,"Roshanaei, M.; Mishra, S.",An analysis of positivity and negativity attributes of users in twitter,2014 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM 2014),,,10.1109/ASONAM.2014.6921611,,365–370,,,,C3,behavioral attributes; behavioral cues; data mining; emotion; emotional interaction; emotion effect; Filtering theory; information sharing; Lead; media; mood; mood effect; negativity attribute analysis; network density; online social media; person behavior; positive and negative attributes; positivity attribute analysis; psychological process; psychology; sentiment analysis; social activity; social awareness; social network graph; social networking (online); social personal concern; social sciences computing; twitter; Twitter dataset
763,conferencePaper,2012,"Lee, Z. W. Y.; Cheung, C. M. K.; Thadani, D. R.",An Investigation into the Problematic Use of Facebook,2012 45th Hawaii International Conference on System Sciences,,,10.1109/HICSS.2012.106,,1768–1776,,,,C3,behavioural sciences; cognitive-behavioral model; context modeling; Current measurement; Deficient self-regulation; Educational institutions; facebook; Facebook problematic use; generalized problematic Internet use; internet; mood; mood regulation; online social interaction; Preference for online social interaction; Problematic Facebook use; social communication pattern; social interaction pattern; social networking (online); social networking sites; statistical analysis; variance
764,conferencePaper,2015,"Ballona, Pedro Rego; Prado, Patrick; de Almeida, Jussara Marques; Marques-Neto, Humberto Torres",Analyzing The Influence Of Pope's Tweets On His Followers' Mood,Proceedings of the 21st Brazilian Symposium on Multimedia and the Web,978-1-4503-3959-9,,10.1145/2820426.2820441,http://doi.acm.org/10.1145/2820426.2820441,93–100,,,,C3,mood influence; sentimental analysis; social media
765,conferencePaper,2017,"Cheng, Justin; Bernstein, Michael; Danescu-Niculescu-Mizil, Cristian; Leskovec, Jure",Anyone Can Become a Troll: Causes of Trolling Behavior in Online Discussions,Proceedings of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing,978-1-4503-4335-0,,10.1145/2998181.2998213,http://doi.acm.org/10.1145/2998181.2998213,1217–1230,,,,C3,antisocial behavior; Online communities; trolling
766,conferencePaper,2011,"Tu, B. M.; Wu, H. C.; Hsieh, C.; Lin, J. Y.",Applying the Perspective of Technology Sensemaking to Plurk User Behaviors: An Exploratory Study,2011 44th Hawaii International Conference on System Sciences,,,10.1109/HICSS.2011.74,,1–8,,,,C3,behavioural sciences computing; cognitive process; cognitive systems; content analysis; Encoding; grounded theory; Interviews; kiosk; microblogging user behavior; mood; mood bulletin; Organizations; Plurk user behavior; propaganda vehicle; reality show; social networking (online); Standards organizations; technology sensemaking; twitter; Vehicles
767,conferencePaper,2014,"Mark, Gloria; Iqbal, Shamsi; Czerwinski, Mary; Johns, Paul",Capturing the Mood: Facebook and Face-to-face Encounters in the Workplace,Proceedings of the 17th ACM Conference on Computer Supported Cooperative Work & Social Computing,978-1-4503-2540-0,,10.1145/2531602.2531673,http://doi.acm.org/10.1145/2531602.2531673,1082–1094,,,,C3,affect; email; facebook; face-to-face interaction; mood; multitasking
768,conferencePaper,2015,"Wang, Yiran; Niiya, Melissa; Mark, Gloria; Reich, Stephanie M.; Warschauer, Mark",Coming of Age (Digitally): An Ecological View of Social Media Use Among College Students,Proceedings of the 18th ACM Conference on Computer Supported Cooperative Work & Social Computing,978-1-4503-2922-4,,10.1145/2675133.2675271,http://doi.acm.org/10.1145/2675133.2675271,571–582,,,,C3,college students; computer logging; facebook; in situ study; social media
769,conferencePaper,2010,"Park, Keun Chan; Jeong, Yoonjae; Myaeng, Sung Hyon",Detecting Experiences from Weblogs,Proceedings of the 48th Annual Meeting of the Association for Computational Linguistics,,,,http://dl.acm.org/citation.cfm?id=1858681.1858829,1464–1472,,,,C3,
770,conferencePaper,2016,"Dao, B.; Nguyen, T.; Venkatesh, S.; Phung, D.",Discovering latent affective dynamics among individuals in online mental health-related communities,2016 IEEE International Conference on Multimedia and Expo (ICME),,,10.1109/ICME.2016.7552947,,1–6,,,,C3,affective disorder conditions; Affective Transition; autism; blogs; computational modeling; Data models; emotional dynamics; emotional transitions; internet; Joint Factor Analysis; matrix decomposition; media; medical disorders; medical information systems; mental disorder diagnosis; mental disorder treatment; mental health; mood; mood dynamics; Nonnegative Matrix Factorization; nonnegative matrix factorization model; Online communities; online mental health-related communities; online sensing platform; online settings; patient diagnosis; patient treatment; social media; social networking (online)
771,book,2012,,DUBMMSM '12: Proceedings of the 2012 Workshop on Data-driven User Behavioral Modelling and Mining from Social Media,,978-1-4503-1707-8,,,,,,,,C3,
772,conferencePaper,2011,"Adams, Brett; Phung, Dinh; Venkatesh, Svetha",Eventscapes: Visualizing Events over Time with Emotive Facets,Proceedings of the 19th ACM International Conference on Multimedia,978-1-4503-0616-4,,10.1145/2072298.2072044,http://doi.acm.org/10.1145/2072298.2072044,1477–1480,,,,C3,event; sentiment; social media; visualization
773,conferencePaper,2015,"Roshanaei, Mahnaz; Han, Richard; Mishra, Shivakant",Features for Mood Prediction in Social Media,Proceedings of the 2015 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining 2015,978-1-4503-3854-7,,10.1145/2808797.2809342,http://doi.acm.org/10.1145/2808797.2809342,1580–1581,,,,C3,classification accuracy; emotion recognition; individual users emotional states; Labeling; Market research; media; mood; mood prediction; pattern classification; personalized classifier; sentiment analysis; social media; social networking (online); tweeting temporal nature; twitter; user gender; user postings temporal nature; user psychological features; users activities
774,journalArticle,2015,"Xu, Chenyan; Yu, Yang; Hoi, Chun-Keung",Hidden In-game Intelligence in NBA Players' Tweets,Commun. ACM,,0001-0782,10.1145/2735625,http://doi.acm.org/10.1145/2735625,80–89,,11,58,C3,
775,conferencePaper,2014,"Paolo, G. D.; Malavolta, I.; Muccini, H.",How do you Feel Today? Buggy!,2014 40th EUROMICRO Conference on Software Engineering and Advanced Applications,,,10.1109/SEAA.2014.63,,391–391,,,,C3,behavioural sciences computing; Correlation; data mining; developer emotion; developer mood; GitHub; instruments; mood; real-time systems; social networking (online); social networks; Software; software developers; software repositories; twitter
776,conferencePaper,2015,"Sharma, A.; Rani, R.",IoT solutions for 3-D visualization of Twitter data,2015 IEEE International Advance Computing Conference (IACC),,,10.1109/IADCC.2015.7154824,,839–843,,,,C3,3D visualization; actuators; Arduino; Computers; customer oriented market development; data analysis; data visualisation; data visualization; internet of things; IoT; IOT devices; Libraries; mood; radio frequency identifications; RFID; sensors; smart devices; Social analysis; social networking (online); social networking site; twitter; Twitter data analysis; Twitter data visualization; visualization
